date,hour_interval,mean_temp
2015-04-26,1600-2000,59.0
2015-04-26,2000-0000,42.0
2015-04-27,0000-0400,49.75
2015-04-27,0400-0800,49.75
2015-04-27,0800-1200,56.75
2015-04-27,1200-1600,59.75
2015-04-27,1600-2000,58.5
2015-04-27,2000-0000,42.8
2015-04-28,0000-0400,51.5
2015-04-28,0400-0800,52.25
2015-04-28,0800-1200,62.25
2015-04-28,1200-1600,69.75
2015-04-28,1600-2000,67.25
2015-04-28,2000-0000,49.6
2015-04-29,0000-0400,57.75
2015-04-29,0400-0800,58.0
2015-04-29,0800-1200,68.75
2015-04-29,1200-1600,75.75
2015-04-29,1600-2000,64.5
2015-04-29,2000-0000,41.6
2015-04-30,0000-0400,48.75
2015-04-30,0400-0800,50.857142857142854
2015-04-30,0800-1200,59.75
2015-04-30,1200-1600,65.0
2015-04-30,1600-2000,57.75
2015-04-30,2000-0000,41.6
2015-05-01,0000-0400,50.5
2015-05-01,0400-0800,50.5
2015-05-01,0800-1200,56.0
2015-05-01,1200-1600,59.5
2015-05-01,1600-2000,51.5
2015-05-01,2000-0000,39.6
2015-05-02,0000-0400,49.5
2015-05-02,0400-0800,51.0
2015-05-02,0800-1200,61.0
2015-05-02,1200-1600,63.5
2015-05-02,1600-2000,53.5
2015-05-02,2000-0000,41.6
2015-05-03,0000-0400,51.75
2015-05-03,0400-0800,53.75
2015-05-03,0800-1200,70.5
2015-05-03,1200-1600,76.75
2015-05-03,1600-2000,68.5
2015-05-03,2000-0000,50.2
2015-05-04,0000-0400,58.0
2015-05-04,0400-0800,61.0
2015-05-04,0800-1200,78.8
2015-05-04,1200-1600,82.0
2015-05-04,1600-2000,79.75
2015-05-04,2000-0000,58.0
2015-05-05,0000-0400,68.25
2015-05-05,0400-0800,68.25
2015-05-05,0800-1200,77.0
2015-05-05,1200-1600,82.0
2015-05-05,1600-2000,73.75
2015-05-05,2000-0000,56.8
2015-05-06,0000-0400,70.0
2015-05-06,0400-0800,66.25
2015-05-06,0800-1200,66.5
2015-05-06,1200-1600,67.25
2015-05-06,1600-2000,65.25
2015-05-06,2000-0000,48.2
2015-05-07,0000-0400,57.75
2015-05-07,0400-0800,60.25
2015-05-07,0800-1200,74.25
2015-05-07,1200-1600,77.0
2015-05-07,1600-2000,68.25
2015-05-07,2000-0000,46.8
2015-05-08,0000-0400,56.5
2015-05-08,0400-0800,58.75
2015-05-08,0800-1200,76.5
2015-05-08,1200-1600,78.75
2015-05-08,1600-2000,71.5
2015-05-08,2000-0000,50.0
2015-05-09,0000-0400,60.55555555555556
2015-05-09,0400-0800,57.4
2015-05-09,0800-1200,60.42857142857143
2015-05-09,1200-1600,67.42857142857143
2015-05-09,1600-2000,64.8
2015-05-09,2000-0000,61.2
2015-05-10,0000-0400,62.714285714285715
2015-05-10,0400-0800,65.8
